Reloading Ammo
Brass: Lapua Brass 308win Palma
Projectile: 30 Caliber 155.5 Grain FULLBORE Target (G1: .473 | G7:.242)
Powder: CCI 2208 x 44.4gr
Primer: CCI400

Velocity: Tikka 2685 fps / Mauser 2555 fps

Tikka T3x Tac A1 / Vortex Viper Gen II
         10C     20C     30C     40C 
50m      0.0     0.0     0.0     0.0 
100m    -0.3    -0.3    -0.3    -0.3 
200m     0.2     0.2     0.2     0.2 
300m     1.1     1.1     1.1     1.1 
400m     2.1     2.1     2.1     2.1 
500m     3.3     3.3     3.3     3.3 
600m     4.6     4.6     4.6     4.6 
700m     6.1     6.1     6.2     6.2 
800m     7.9     7.9     8.0     8.0 
900m     9.8     9.8     9.8     9.8 
1.0km   12.0    12.0    12.0    12.0 
1.1km   14.5    14.5    14.5    14.5 
1.2km   17.2    17.2    17.2    17.2 
1.3km   20.3    20.3    20.3    20.3 
                
Mauser M-18 / Athlon Midas
         10C     20C     30C     40C 
50m      0.0     0.0     0.0     0.0 
100m    -0.1    -0.1    -0.1    -0.1 
200m     0.6     0.6     0.6     0.6 
300m     1.5     1.5     1.5     1.5 
400m     2.7     2.7     2.7     2.7 
500m     4.0     4.0     4.0     4.0 
600m     5.5     5.5     5.5     5.5 
700m     7.2     7.2     7.2     7.2 
800m     9.2     9.2     9.2     9.2 
900m    11.4    11.4    11.4    11.4 
1.0km   13.8    13.8    13.8    13.8 
1.1km   16.6    16.6    16.6    16.6 
1.2km   19.7    19.7    19.7    19.7 
1.3km   23.2    23.2    23.2    23.2 


